"Sl no.","District Name","Market Name",Commodity,Variety,Grade,"Min Price (Rs./Quintal)","Max Price (Rs./Quintal)","Modal Price (Rs./Quintal)","Price Date"
1054,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1320,1460,1380,2020/04/28
1055,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1300,1450,1380,2020/04/27
1056,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1320,1450,1390,2020/04/25
1057,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1320,1450,1375,2020/04/24
1058,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1300,1420,1355,2020/04/23
1059,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1260,1400,1345,2020/04/22
1060,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1240,1400,1320,2020/04/21
1061,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1260,1400,1340,2020/04/20
1062,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1260,1400,1325,2020/04/18
1063,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1260,1420,1365,2020/04/17
1064,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1260,1400,1345,2020/04/16
1065,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1240,1400,1320,2020/04/15
1066,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1300,1420,1355,2020/04/14
1067,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1250,1420,1340,2020/04/13
1068,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1240,1400,1310,2020/04/11
1069,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1260,1400,1335,2020/04/10
1070,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1260,1380,1320,2020/04/09
1071,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1280,1400,1355,2020/04/08
1072,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1280,1400,1340,2020/04/07
1073,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1300,1420,1365,2020/04/06
1074,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1300,1440,1380,2020/04/04
1075,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1260,1450,1355,2020/04/03
1076,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1300,1450,1370,2020/04/02
1077,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1220,1450,1340,2020/04/01
1078,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1160,1320,1245,2020/03/30
1079,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1060,1220,1145,2020/03/21
1080,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1020,1220,1100,2020/03/20
1081,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1040,1240,1120,2020/03/19
1082,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1060,1220,1145,2020/03/18
1083,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1050,1200,1125,2020/03/16
1084,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1050,1200,1140,2020/03/14
1085,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1100,1250,1175,2020/03/13
1086,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1040,1180,1100,2020/03/12
1087,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1000,1150,1070,2020/03/11
1088,Agra,"Fatehpur Sikri",Potato,Local,FAQ,940,1050,1000,2020/03/07
1089,Agra,"Fatehpur Sikri",Potato,Local,FAQ,900,1040,980,2020/03/06
1090,Agra,"Fatehpur Sikri",Potato,Local,FAQ,880,1020,960,2020/03/05
1091,Agra,"Fatehpur Sikri",Potato,Local,FAQ,900,1040,975,2020/03/04
1092,Agra,"Fatehpur Sikri",Potato,Local,FAQ,880,1000,940,2020/03/03
1093,Agra,"Fatehpur Sikri",Potato,Local,FAQ,830,980,905,2020/03/02
1094,Agra,"Fatehpur Sikri",Potato,Local,FAQ,800,950,890,2020/02/29
1095,Agra,"Fatehpur Sikri",Potato,Local,FAQ,800,940,880,2020/02/28
1096,Agra,"Fatehpur Sikri",Potato,Local,FAQ,800,980,895,2020/02/27
1097,Agra,"Fatehpur Sikri",Potato,Local,FAQ,800,950,865,2020/02/26
1098,Agra,"Fatehpur Sikri",Potato,Local,FAQ,800,940,880,2020/02/25
1099,Agra,"Fatehpur Sikri",Potato,Local,FAQ,800,970,890,2020/02/24
1100,Agra,"Fatehpur Sikri",Potato,Local,FAQ,0,0,865,2020/02/22
1101,Agra,"Fatehpur Sikri",Potato,Local,FAQ,0,0,900,2020/02/21
1102,Agra,"Fatehpur Sikri",Potato,Local,FAQ,900,1040,950,2020/02/20
1103,Agra,"Fatehpur Sikri",Potato,Local,FAQ,900,1050,975,2020/02/19
1104,Agra,"Fatehpur Sikri",Potato,Local,FAQ,900,1050,965,2020/02/18
1105,Agra,"Fatehpur Sikri",Potato,Local,FAQ,900,1050,980,2020/02/17
1106,Agra,"Fatehpur Sikri",Potato,Local,FAQ,900,1040,970,2020/02/15
1107,Agra,"Fatehpur Sikri",Potato,Local,FAQ,900,1020,950,2020/02/14
1108,Agra,"Fatehpur Sikri",Potato,Local,FAQ,900,1050,980,2020/02/13
1109,Agra,"Fatehpur Sikri",Potato,Local,FAQ,950,1100,1030,2020/02/12
1110,Agra,"Fatehpur Sikri",Potato,Local,FAQ,930,1080,1000,2020/02/11
1111,Agra,"Fatehpur Sikri",Potato,Local,FAQ,900,1050,980,2020/02/10
1112,Agra,"Fatehpur Sikri",Potato,Local,FAQ,0,0,1025,2020/02/08
1113,Agra,"Fatehpur Sikri",Potato,Local,FAQ,0,0,1010,2020/02/07
1114,Agra,"Fatehpur Sikri",Potato,Local,FAQ,0,0,1040,2020/02/06
1115,Agra,"Fatehpur Sikri",Potato,Local,FAQ,0,0,1025,2020/02/05
1116,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1060,1240,1145,2020/02/03
1117,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1100,1250,1175,2020/02/01
1118,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1100,1260,1190,2020/01/30
1119,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1100,1250,1170,2020/01/29
1120,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1140,1300,1210,2020/01/28
1121,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1150,1320,1200,2020/01/27
1122,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1160,1300,1230,2020/01/25
1123,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1160,1320,1250,2020/01/24
1124,Agra,"Fatehpur Sikri",Potato,Local,FAQ,0,0,1265,2020/01/22
1125,Agra,"Fatehpur Sikri",Potato,Local,FAQ,0,0,1250,2020/01/21
1126,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1150,1350,1230,2020/01/20
1127,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1180,1340,1265,2020/01/18
1128,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1200,1340,1250,2020/01/17
1129,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1200,1340,1260,2020/01/15
1130,Agra,"Fatehpur Sikri",Potato,Local,FAQ,0,0,1285,2020/01/14
1131,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1220,1400,1310,2020/01/13
1132,Agra,"Fatehpur Sikri",Potato,Local,FAQ,0,0,1300,2020/01/11
1133,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1250,1400,1325,2020/01/10
1134,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1240,1400,1305,2020/01/09
1135,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1260,1420,1340,2020/01/07
1136,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1300,1500,1385,2020/01/06
1137,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1370,1500,1435,2020/01/03
1138,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1360,1500,1420,2020/01/02
1139,Agra,"Fatehpur Sikri",Potato,Local,FAQ,1400,1520,1455,2020/01/01
1140,Agra,Jagnair,Potato,Desi,FAQ,750,850,800,2020/12/31
1141,Agra,Jagnair,Potato,Desi,FAQ,800,900,850,2020/12/30
1142,Agra,Jagnair,Potato,Desi,FAQ,800,860,830,2020/12/29
1143,Agra,Jagnair,Potato,Desi,FAQ,800,900,850,2020/12/28
1144,Agra,Jagnair,Potato,Desi,FAQ,800,900,850,2020/12/27
1145,Agra,Jagnair,Potato,Desi,FAQ,800,900,850,2020/12/26
1146,Agra,Jagnair,Potato,Desi,FAQ,800,900,850,2020/12/25
1147,Agra,Jagnair,Potato,Desi,FAQ,800,900,850,2020/12/24
1148,Agra,Jagnair,Potato,Desi,FAQ,650,750,700,2020/12/23
1149,Agra,Jagnair,Potato,Desi,FAQ,650,750,700,2020/12/22
1150,Agra,Jagnair,Potato,Desi,FAQ,600,800,700,2020/12/21
1151,Agra,Jagnair,Potato,Desi,FAQ,1200,1300,1250,2020/12/20
1152,Agra,Jagnair,Potato,Desi,FAQ,1250,1350,1300,2020/12/19
1153,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/12/18
1154,Agra,Jagnair,Potato,Desi,FAQ,1300,1400,1350,2020/12/17
1155,Agra,Jagnair,Potato,Desi,FAQ,1600,1700,1650,2020/12/16
1156,Agra,Jagnair,Potato,Desi,FAQ,1600,1800,1700,2020/12/15
1157,Agra,Jagnair,Potato,Desi,FAQ,1700,1900,1800,2020/12/11
1158,Agra,Jagnair,Potato,Desi,FAQ,1800,2000,1900,2020/12/08
1159,Agra,Jagnair,Potato,Desi,FAQ,1850,2050,1950,2020/12/07
1160,Agra,Jagnair,Potato,Desi,FAQ,1800,2000,1900,2020/12/06
1161,Agra,Jagnair,Potato,Desi,FAQ,1800,2000,1900,2020/12/05
1162,Agra,Jagnair,Potato,Desi,FAQ,1700,1900,1800,2020/12/04
1163,Agra,Jagnair,Potato,Desi,FAQ,1800,2000,1900,2020/12/03
1164,Agra,Jagnair,Potato,Desi,FAQ,2300,2400,2350,2020/12/02
1165,Agra,Jagnair,Potato,Desi,FAQ,2200,2400,2300,2020/12/01
1166,Agra,Jagnair,Potato,Desi,FAQ,2600,2700,2650,2020/11/30
1167,Agra,Jagnair,Potato,Desi,FAQ,2500,2700,2600,2020/11/28
1168,Agra,Jagnair,Potato,Desi,FAQ,2500,2700,2600,2020/11/27
1169,Agra,Jagnair,Potato,Desi,FAQ,2500,2700,2600,2020/11/26
1170,Agra,Jagnair,Potato,Desi,FAQ,3000,3200,3100,2020/11/25
1171,Agra,Jagnair,Potato,Desi,FAQ,2500,2700,2600,2020/11/24
1172,Agra,Jagnair,Potato,Desi,FAQ,1500,1550,1525,2020/10/19
1173,Agra,Jagnair,Potato,Desi,FAQ,1550,1650,1600,2020/10/18
1174,Agra,Jagnair,Potato,Other,FAQ,1550,1650,1600,2020/10/17
1175,Agra,Jagnair,Potato,Desi,FAQ,1500,1600,1550,2020/10/16
1176,Agra,Jagnair,Potato,Desi,FAQ,1500,1600,1550,2020/10/07
1177,Agra,Jagnair,Potato,Desi,FAQ,1500,1600,1550,2020/10/06
1178,Agra,Jagnair,Potato,Desi,FAQ,1470,1530,1500,2020/10/05
1179,Agra,Jagnair,Potato,Desi,FAQ,1450,1500,1475,2020/10/04
1180,Agra,Jagnair,Potato,Desi,FAQ,900,1000,950,2020/08/31
1181,Agra,Jagnair,Potato,Desi,FAQ,1300,1320,1310,2020/06/30
1182,Agra,Jagnair,Potato,Desi,FAQ,1300,1330,1315,2020/06/29
1183,Agra,Jagnair,Potato,Desi,FAQ,1300,1360,1330,2020/06/27
1184,Agra,Jagnair,Potato,Desi,FAQ,1300,1360,1330,2020/06/26
1185,Agra,Jagnair,Potato,Desi,FAQ,1300,1320,1310,2020/06/25
1186,Agra,Jagnair,Potato,Desi,FAQ,1330,1350,1340,2020/06/24
1187,Agra,Jagnair,Potato,Desi,FAQ,1300,1360,1330,2020/06/23
1188,Agra,Jagnair,Potato,Desi,FAQ,1320,1360,1340,2020/06/22
1189,Agra,Jagnair,Potato,Desi,FAQ,1250,1350,1300,2020/06/20
1190,Agra,Jagnair,Potato,Desi,FAQ,1300,1380,1340,2020/06/19
1191,Agra,Jagnair,Potato,Desi,FAQ,1320,1360,1340,2020/06/17
1192,Agra,Jagnair,Potato,Desi,FAQ,1300,1360,1330,2020/06/16
1193,Agra,Jagnair,Potato,Desi,FAQ,1300,1350,1325,2020/06/15
1194,Agra,Jagnair,Potato,Desi,FAQ,1320,1360,1340,2020/06/12
1195,Agra,Jagnair,Potato,Desi,FAQ,1200,1300,1250,2020/06/11
1196,Agra,Jagnair,Potato,Desi,FAQ,1300,1340,1320,2020/06/10
1197,Agra,Jagnair,Potato,Desi,FAQ,1280,1320,1300,2020/06/09
1198,Agra,Jagnair,Potato,Desi,FAQ,1350,1400,1375,2020/06/08
1199,Agra,Jagnair,Potato,Desi,FAQ,1320,1380,1350,2020/06/06
1200,Agra,Jagnair,Potato,Desi,FAQ,1350,1400,1375,2020/06/05
1201,Agra,Jagnair,Potato,Desi,FAQ,1310,1370,1340,2020/06/04
1202,Agra,Jagnair,Potato,Desi,FAQ,1300,1340,1320,2020/06/03
1203,Agra,Jagnair,Potato,Desi,FAQ,1300,1350,1325,2020/06/02
1204,Agra,Jagnair,Potato,Desi,FAQ,1320,1360,1340,2020/06/01
1205,Agra,Jagnair,Potato,Desi,FAQ,1380,1460,1420,2020/05/30
1206,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/05/29
1207,Agra,Jagnair,Potato,Desi,FAQ,1400,1440,1420,2020/05/28
1208,Agra,Jagnair,Potato,Desi,FAQ,1400,1440,1420,2020/05/26
1209,Agra,Jagnair,Potato,Desi,FAQ,1400,1440,1420,2020/05/23
1210,Agra,Jagnair,Potato,Desi,FAQ,1400,1450,1425,2020/05/22
1211,Agra,Jagnair,Potato,Desi,FAQ,1400,1440,1420,2020/05/21
1212,Agra,Jagnair,Potato,Desi,FAQ,1400,1500,1450,2020/05/19
1213,Agra,Jagnair,Potato,Desi,FAQ,1400,1500,1450,2020/05/18
1214,Agra,Jagnair,Potato,Desi,FAQ,1400,1440,1420,2020/05/15
1215,Agra,Jagnair,Potato,Desi,FAQ,1400,1500,1450,2020/05/14
1216,Agra,Jagnair,Potato,Desi,FAQ,1400,1500,1450,2020/05/13
1217,Agra,Jagnair,Potato,Desi,FAQ,1400,1450,1425,2020/05/12
1218,Agra,Jagnair,Potato,Desi,FAQ,1400,1450,1425,2020/05/11
1219,Agra,Jagnair,Potato,Desi,FAQ,1400,1480,1440,2020/05/09
1220,Agra,Jagnair,Potato,Desi,FAQ,1400,1500,1450,2020/05/08
1221,Agra,Jagnair,Potato,Desi,FAQ,1400,1440,1420,2020/05/07
1222,Agra,Jagnair,Potato,Desi,FAQ,1400,1500,1450,2020/05/06
1223,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/05/05
1224,Agra,Jagnair,Potato,Desi,FAQ,1250,1350,1300,2020/05/02
1225,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/04/30
1226,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/04/29
1227,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/04/28
1228,Agra,Jagnair,Potato,Desi,FAQ,1400,1440,1420,2020/04/27
1229,Agra,Jagnair,Potato,Desi,FAQ,1400,1440,1420,2020/04/26
1230,Agra,Jagnair,Potato,Desi,FAQ,950,1050,1000,2020/04/25
1231,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/04/24
1232,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/04/23
1233,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/04/22
1234,Agra,Jagnair,Potato,Desi,FAQ,1400,1450,1425,2020/04/21
1235,Agra,Jagnair,Potato,Desi,FAQ,1400,1500,1450,2020/04/20
1236,Agra,Jagnair,Potato,Desi,FAQ,1400,1500,1450,2020/04/18
1237,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/04/17
1238,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/04/16
1239,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/04/15
1240,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/04/14
1241,Agra,Jagnair,Potato,Desi,FAQ,1300,1400,1350,2020/04/12
1242,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/04/11
1243,Agra,Jagnair,Potato,Desi,FAQ,1300,1400,1350,2020/04/10
1244,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/04/09
1245,Agra,Jagnair,Potato,Desi,FAQ,1200,1400,1300,2020/04/08
1246,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/04/07
1247,Agra,Jagnair,Potato,Desi,FAQ,1300,1400,1350,2020/04/06
1248,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/04/05
1249,Agra,Jagnair,Potato,Desi,FAQ,1300,1400,1350,2020/04/04
1250,Agra,Jagnair,Potato,Desi,FAQ,1200,1300,1250,2020/04/03
1251,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/04/02
1252,Agra,Jagnair,Potato,Desi,FAQ,1100,1200,1150,2020/04/01
1253,Agra,Jagnair,Potato,Desi,FAQ,1350,1450,1400,2020/03/31
1254,Agra,Jagnair,Potato,Desi,FAQ,1100,1200,1150,2020/03/30
1255,Agra,Jagnair,Potato,Desi,FAQ,1050,1150,1100,2020/03/29
1256,Agra,Jagnair,Potato,Desi,FAQ,900,1000,950,2020/03/28
1257,Agra,Jagnair,Potato,Desi,FAQ,950,1000,975,2020/03/27
1258,Agra,Jagnair,Potato,Desi,FAQ,1000,1100,1050,2020/03/26
1259,Agra,Jagnair,Potato,Desi,FAQ,1000,1100,1050,2020/03/25
1260,Agra,Jagnair,Potato,Desi,FAQ,950,1050,1000,2020/03/21
1261,Agra,Jagnair,Potato,Desi,FAQ,1000,1100,1050,2020/03/20
1262,Agra,Jagnair,Potato,Desi,FAQ,1000,1060,1030,2020/03/19
1263,Agra,Jagnair,Potato,Desi,FAQ,900,1000,950,2020/03/18
1264,Agra,Jagnair,Potato,Desi,FAQ,850,950,900,2020/03/17
1265,Agra,Jagnair,Potato,Desi,FAQ,800,900,850,2020/03/16
1266,Agra,Jagnair,Potato,Desi,FAQ,850,950,900,2020/03/15
1267,Agra,Jagnair,Potato,Desi,FAQ,900,1000,950,2020/03/13
1268,Agra,Jagnair,Potato,Desi,FAQ,900,1000,950,2020/03/12
1269,Agra,Jagnair,Potato,Desi,FAQ,900,1000,950,2020/03/11
1270,Agra,Jagnair,Potato,Desi,FAQ,860,940,900,2020/03/09
1271,Agra,Jagnair,Potato,Desi,FAQ,900,1000,950,2020/03/07
1272,Agra,Jagnair,Potato,Desi,FAQ,900,1000,950,2020/03/06
1273,Agra,Jagnair,Potato,Desi,FAQ,800,1000,900,2020/03/05
1274,Agra,Jagnair,Potato,Desi,FAQ,900,1000,950,2020/03/04
1275,Agra,Jagnair,Potato,Desi,FAQ,900,1000,950,2020/03/03
1276,Agra,Jagnair,Potato,Desi,FAQ,850,950,900,2020/03/02
1277,Agra,Jagnair,Potato,Desi,FAQ,900,1000,950,2020/02/29
1278,Agra,Jagnair,Potato,Desi,FAQ,1000,1080,1040,2020/02/28
1279,Agra,Jagnair,Potato,Desi,FAQ,1000,1100,1050,2020/02/27
1280,Agra,Jagnair,Potato,Desi,FAQ,1000,1100,1050,2020/02/26
1281,Agra,Jagnair,Potato,Desi,FAQ,1100,1180,1140,2020/02/22
1282,Agra,Jagnair,Potato,Desi,FAQ,1100,1180,1140,2020/02/21
1283,Agra,Jagnair,Potato,Desi,FAQ,1100,1180,1140,2020/02/20
1284,Agra,Jagnair,Potato,Desi,FAQ,1100,1180,1140,2020/02/19
1285,Agra,Jagnair,Potato,Desi,FAQ,1100,1200,1150,2020/02/18
1286,Agra,Jagnair,Potato,Desi,FAQ,1100,1200,1150,2020/02/17
1287,Agra,Jagnair,Potato,Desi,FAQ,1120,1200,1180,2020/02/15
1288,Agra,Jagnair,Potato,Desi,FAQ,1100,1140,1120,2020/02/14
1289,Agra,Jagnair,Potato,Desi,FAQ,1100,1200,1150,2020/02/13
1290,Agra,Jagnair,Potato,Desi,FAQ,1050,1100,1075,2020/02/12
1291,Agra,Jagnair,Potato,Desi,FAQ,950,1050,1000,2020/02/11
1292,Agra,Jagnair,Potato,Desi,FAQ,900,1000,950,2020/02/10
1293,Agra,Jagnair,Potato,Desi,FAQ,1000,1080,1040,2020/02/09
1294,Agra,Jagnair,Potato,Desi,FAQ,1000,1080,1040,2020/02/08
1295,Agra,Jagnair,Potato,Desi,FAQ,1100,1150,1125,2020/02/07
1296,Agra,Jagnair,Potato,Desi,FAQ,1000,1080,1040,2020/02/06
1297,Agra,Jagnair,Potato,Desi,FAQ,1000,1050,1025,2020/02/05
1298,Agra,Jagnair,Potato,Desi,FAQ,1000,1100,1050,2020/02/04
1299,Agra,Jagnair,Potato,Desi,FAQ,1000,1100,1050,2020/02/03
1300,Agra,Jagnair,Potato,Desi,FAQ,1180,1260,1220,2020/02/01
1301,Agra,Jagnair,Potato,Desi,FAQ,1200,1250,1225,2020/01/31
1302,Agra,Jagnair,Potato,Desi,FAQ,1120,1200,1160,2020/01/30
1303,Agra,Jagnair,Potato,Desi,FAQ,1150,1210,1180,2020/01/29
1304,Agra,Jagnair,Potato,Desi,FAQ,1220,1280,1250,2020/01/28
1305,Agra,Jagnair,Potato,Desi,FAQ,1200,1250,1225,2020/01/27
1306,Agra,Jagnair,Potato,Desi,FAQ,1150,1250,1200,2020/01/25
1307,Agra,Jagnair,Potato,Desi,FAQ,1180,1220,1200,2020/01/24
1308,Agra,Jagnair,Potato,Desi,FAQ,1200,1300,1250,2020/01/23
1309,Agra,Jagnair,Potato,Desi,FAQ,1200,1260,1230,2020/01/22
1310,Agra,Jagnair,Potato,Desi,FAQ,1150,1250,1200,2020/01/21
1311,Agra,Jagnair,Potato,Desi,FAQ,1200,1260,1230,2020/01/18
1312,Agra,Jagnair,Potato,Desi,FAQ,1200,1240,1220,2020/01/17
1313,Agra,Jagnair,Potato,Desi,FAQ,1200,1300,1250,2020/01/16
1314,Agra,Jagnair,Potato,Desi,FAQ,1200,1260,1230,2020/01/15
1315,Agra,Jagnair,Potato,Desi,FAQ,1180,1340,1260,2020/01/14
1316,Agra,Jagnair,Potato,Desi,FAQ,1150,1250,1200,2020/01/13
1317,Agra,Jagnair,Potato,Desi,FAQ,1200,1300,1250,2020/01/11
1318,Agra,Jagnair,Potato,Desi,FAQ,1200,1300,1250,2020/01/10
1319,Agra,Jagnair,Potato,Desi,FAQ,1220,1340,1280,2020/01/09
1320,Agra,Jagnair,Potato,Desi,FAQ,1240,1320,1280,2020/01/08
1321,Agra,Jagnair,Potato,Desi,FAQ,1200,1300,1250,2020/01/06
1322,Agra,Jagnair,Potato,Desi,FAQ,1250,1350,1300,2020/01/05
1323,Agra,Jagnair,Potato,Desi,FAQ,1220,1280,1250,2020/01/04
1324,Agra,Jagnair,Potato,Desi,FAQ,1250,1300,1275,2020/01/03
1325,Agra,Jagnair,Potato,Desi,FAQ,1200,1400,1300,2020/01/02
1326,Agra,Jagnair,Potato,Desi,FAQ,1250,1350,1300,2020/01/01
1327,Agra,Jarar,Potato,Desi,FAQ,2550,2750,2650,2020/10/30
1328,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/30
1329,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/29
1330,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/27
1331,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/26
1332,Agra,Jarar,Potato,Desi,FAQ,1110,1200,1150,2020/06/25
1333,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/24
1334,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/22
1335,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/20
1336,Agra,Jarar,Potato,Desi,FAQ,1100,1190,1140,2020/06/19
1337,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/18
1338,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/17
1339,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/16
1340,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/15
1341,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/13
1342,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/12
1343,Agra,Jarar,Potato,Desi,FAQ,1200,1250,1220,2020/06/11
1344,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/10
1345,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/08
1346,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/07
1347,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/05
1348,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/04
1349,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/06/03
1350,Agra,Jarar,Potato,Desi,FAQ,1110,1200,1150,2020/06/02
1351,Agra,Jarar,Potato,Desi,FAQ,1120,1200,1160,2020/06/01
1352,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/05/31
1353,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/05/29
1354,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/05/27
1355,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/05/26
1356,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/05/25
1357,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/05/24
1358,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/05/22
1359,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/05/20
1360,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/05/19
1361,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/05/18
1362,Agra,Jarar,Potato,Desi,FAQ,1400,1450,1420,2020/05/17
1363,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/05/15
1364,Agra,Jarar,Potato,Desi,FAQ,1100,1200,1150,2020/05/14
1365,Agra,Jarar,Potato,Desi,FAQ,1100,1300,1200,2020/05/13
1366,Agra,Jarar,Potato,Desi,FAQ,1200,1400,1300,2020/05/12
1367,Agra,Jarar,Potato,Desi,FAQ,1250,1350,1300,2020/05/11
1368,Agra,Jarar,Potato,Desi,FAQ,1250,1350,1300,2020/05/10
1369,Agra,Jarar,Potato,Desi,FAQ,1250,1350,1300,2020/05/08
1370,Agra,Jarar,Potato,Desi,FAQ,1250,1350,1300,2020/05/07
1371,Agra,Jarar,Potato,Desi,FAQ,1250,1350,1300,2020/05/06
1372,Agra,Jarar,Potato,Desi,FAQ,1250,1350,1300,2020/05/05
1373,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020/05/04
1374,Agra,Jarar,Potato,Desi,FAQ,1310,1400,1360,2020/05/03
1375,Agra,Jarar,Potato,Desi,FAQ,1310,1400,1350,2020/05/01
1376,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020/04/30
1377,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020/04/29
1378,Agra,Jarar,Potato,Desi,FAQ,1300,1400,1350,2020/04/28
